idx,question,answer,final_decision,final_indicators
,"לפניך מוצגים שלושה קטעים היוצאים מקודקודי משולש כלשהו (המשולש מוסתר). האם ניתן לדעת בוודאות את סוג הקטעים המיוחדים (תיכון, חוצה זווית או גובה)?",הם גבהים כי הם היחידים שיכולים לצאת מהמשולש,2,"2.01, 2.06"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן, צריך 4 זוויות ישרות",2,"2.01, 2.07"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,כן אפשר לראות את זה בנתונים של אורכי האלכסונים החדשים ואת חצי האלכסונים אחרי כל פעולת גרירה,2,2.01
,מהן תכונותיו של המלבן?,מלבן הוא צורה ריבועית שיש בה כל שתי צלעות נגדיות שוות.,2,"2.01, 2.06, 2.08"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא כי לי יוצר לנו משולש אלה ריבוע וסכום הזוויות הוא 360,2,"2.01, 2.08"
,"דינה טוענת: ""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם דינה צודקת? הסבירו.
",הראתי דוגמא בה הפכתי את המקבילית לקו ישר.. במידה ונציג אותו בתלת מימד כן נראה מקבילית..,2,"2.01, 2.09"
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן אפשר 
חפשתי צלעות שוות אחד לשני שיהיה לנו מרובע 
אורך בין כל שתי נקודות שווה ",2,"2.01, 2.07, 2.08, 2.14"
,האם יכולה להיות צורה עם ארבע זוויות ישרות שאינה מלבן? הסבירו.,"כל מרובע עם ארבע זוייות ישרות הוא מלבן , אבל מצולעים אחרים יכולים להיות ",2,"2.01, 2.02, 2.08"
,מהן תכונותיו של המלבן?,"2 זוגים מהצלעות שמקבילים ושווים זה לזה
כל הזוויות שווות ל 90 
",2,"2.01, 2.06, 2.08"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"1- המיתרים מאונכים
2- יש שתי זוגות של צלעות שוות
3- סכום הזוויות הפנימיות שווה ל 360 
",2,"2.01, 2.06"
,אילו תכונות יש למשולש שווה שוקיים.,"שני צלעים/ שוקיים שווים 
האנך במשולש שווה שוקיים הוא גם חוצה זווית ותיכון 
הזווית שליד השוקיים שוות 
",2,"2.01, 2.06, 2.08"
,אילו תכונות יש למשולש שווה שוקיים.,"1. שני שוקיים שווים 
2. תיכון חוצה זוויות הראש והצלע שלבניו לחצי 
3. שני זוויות שוות ",2,"2.01, 2.06, 2.08"
,"דינה טוענת: ""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם דינה צודקת? הסבירו.
",כן - ההמשך של  צלעות שני המרובעים הם מקבילים לאורך כל גרירה,2,"2.01, 2.07, 2.08"
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","בגאומטריה הספירית, סכום הזוויות במשולש גדול מ-180° מכיוון שהקווים הישרים הם מעגלים גדולים, ולכן המשטח הקמור של הספירה גורם להגדלת סכום הזוויות. כלומר צלעות המשולש הם מעגלים",5,"5.02, 5.12"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","נראה כמו מעוין שקודקודיו (C,0), (C,0-), (0,C), (0,-C)
קו הראשון: y = x + c
y = x - c 
y = -x-c 
y = -x+c 
",5,"5.02, 5.12"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא כי אי אפשר לקבוע משלוש שזוויות שלו היא 180 כי מוגדר לנו ששני ישרים לחתכים בנקודה אחת וזה אל אפשרי במשולש  כי יש לני שני ישרים נחתכים בבשתי נקודות,5,"5.02, 5.12"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן, גררתי וראיתי שאפשר, זה באמת נהיה ריבוע",1,1.01
,האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?,זה מרובע,1,1.04
,האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע?,לא יודעת איך לעשות את זה,1,1.04
,"נגדיר: ""ישר"" על פני כדור הוא מעגל שמרכזו במרכז הכדור. כמה ""ישרים"" עוברים דרך כל שתי נקודות על פני הכדור? הסבירו. ",ישר אחד,1,1.04
,האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?,"אני לא יודעת, קשה לי",1,1.04
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
",אי אפשר לצייר,1,1.04
,"""""""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"""".
 האם הטענה נכונה? הסבירו.""",הצורות אינן מקביליות בכלל,1,1.04
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?","מקבילית
",1,1.04
