id,question,answer,final_decision,final_indicators
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,כן אפשר לראות את זה בנתונים של אורכי האלכסונים החדשים ואת חצי האלכסונים אחרי כל פעולת גרירה,2,2.01
,מהן תכונותיו של המלבן?,מלבן הוא צורה ריבועית שיש בה כל שתי צלעות נגדיות שוות.,2,"2.01, 2.06, 2.08"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא כי לי יוצר לנו משולש אלה ריבוע וסכום הזוויות הוא 360,2,"2.01, 2.08"
,"דינה טוענת: ""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"".
האם דינה צודקת? הסבירו.
",הראתי דוגמא בה הפכתי את המקבילית לקו ישר.. במידה ונציג אותו בתלת מימד כן נראה מקבילית..,2,"2.01, 2.09"
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן אפשר 
חפשתי צלעות שוות אחד לשני שיהיה לנו מרובע 
אורך בין כל שתי נקודות שווה ",2,"2.01, 2.07, 2.08, 2.14"
,האם יכולה להיות צורה עם ארבע זוויות ישרות שאינה מלבן? הסבירו.,"כל מרובע עם ארבע זוייות ישרות הוא מלבן , אבל מצולעים אחרים יכולים להיות ",2,"2.01, 2.02, 2.08"
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.",אי אפשר להעביר את הצורות לריביע כי צורה 1 היא מלבן וצורה 2 היא מקבילית והתכונות של הצורות האלה לא אותם תכונות של הריבע שצריך כל צלעותיו יהיו שוות ואם אני מנסה להעביר את הצורות לריבוע אז אני חייבת לשנוות את הכל הצלעות והצורה,2,"2.01, 2.02"
,מהן תכונותיו של המלבן?,"2 זוגים מהצלעות שמקבילים ושווים זה לזה
כל הזוויות שווות ל 90 
",2,"2.01, 2.06, 2.08"
,כתבו לפחות 3 תכונות שקיימות במעויין.,"1- המיתרים מאונכים
2- יש שתי זוגות של צלעות שוות
3- סכום הזוויות הפנימיות שווה ל 360 
",2,"2.01, 2.06"
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,זווית תשעים מעלות,2,"2.01, 2.06"
,אילו תכונות יש למשולש שווה שוקיים.,"1. שני שוקיים שווים 
2. תיכון חוצה זוויות הראש והצלע שלבניו לחצי 
3. שני זוויות שוות ",2,"2.01, 2.06, 2.08"
,"גאומטריה ספֵירִית היא סוג של גאומטריה לא אוקלידית, העוסקת בתכונות של ישרים על ספירה, כלומר מעטפת של כדור. בגאומטריה הספירית הקווים הישרים הם ""מעגלים גדולים"" - כאלה שרדיוסם שווה לרדיוס הכדור.
האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.","בגאומטריה הספירית, סכום הזוויות במשולש גדול מ-180° מכיוון שהקווים הישרים הם מעגלים גדולים, ולכן המשטח הקמור של הספירה גורם להגדלת סכום הזוויות. כלומר צלעות המשולש הם מעגלים",5,"5.02, 5.12"
,,"המשוואה|X| +|Y| = C| מתראת מעוין שמרכזו (0,0) והקדקודים שלו נמצאים על הצירים בנקודות (C,0) (0,C) (0,-C) (C,0-) הקו הישר לפי ההגדרה נראה כמו מעוין. ",5,"5.01, 5.02, 5.12"
,"נתונים של משולשים ABC ו-A'B'C' כמתואר בציור. האם על פי הנתונים, ניתן לקבוע אם המשולשים חופפים ביניהם? אם כן, הוכיחו. אם לא- נמקו מדוע.","נראה כמו מעוין שקודקודיו (C,0), (C,0-), (0,C), (0,-C)
קו הראשון: y = x + c
y = x - c 
y = -x-c 
y = -x+c 
",5,"5.02, 5.12"
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",לא כי אי אפשר לקבוע משלוש שזוויות שלו היא 180 כי מוגדר לנו ששני ישרים לחתכים בנקודה אחת וזה אל אפשרי במשולש  כי יש לני שני ישרים נחתכים בבשתי נקודות,5,"5.02, 5.12"
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","כן, גררתי וראיתי שאפשר, זה באמת נהיה ריבוע",1,1.01
,"במערכת גיאומטרית נתונה האקסיומה: 
""שני קווים מקבילים אם ורק אם הם נחתכים בנקודה אחת בלבד"".
שרטטו מקבילית אפשרית על פי המערכת הגיאומטרית הנתונה.
",אי אפשר לצייר,1,1.04
,"בגיאומטריה אחרת, השונה מהגיאומטריה האוקלידית, מישור פרויקטיבי הוא מישור המקיים את 5 האקסיומות הבאות:
1. יש לפחות ישר אחד.
2. דרך כל שתי נקודות שונות עובר ישר יחיד.
3. כל שני ישרים נחתכים לפחות בנקודה אחת.
4. על כל ישר יש לפחות 3 נקודות שונות.
5. אין ישר אשר כל נקודות נמצאות עליו.


האם בגיאומטריה הזו סכום הזוויות במשולש הוא 180°? נמקו את תשובתכם.
",איבדתי את זה :),1,1.04
,האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך?,נראה לי שזה ריבוע,1,1.04
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,משולש זה משולש,1,1.04
,האם ניתן לקבוע סוג המשולש על סמך 2 או 3 קטעים? נמקו.,לא יודעת איך עושים את זה,1,1.04
,"""""""שתי הצורות הנתונות הן מקביליות לאורך כל גרירה"""".
 האם הטענה נכונה? הסבירו.""",הצורות אינן מקביליות בכלל,1,1.04
,"לפניך מוצגים שני אלכסונים של מרובע, אך הצורה עצמה מוסתרת.
באמצעות גרירת הקודקודים, בחן את התנהגות האלכסונים וענה על השאלות הבאות:
האם ניתן לקבוע בוודאות את סוג המרובע על סמך תצפיותיך? הוכח את טענתך.
אם אינך יכול לקבוע את סוג המרובע באופן חד-משמעי, פרט אילו נתונים נוספים נדרשים כדי לזהות את הצורה במדויק?
",המרובע הוא מקבילית זאת לפי תכונת המקבילית שהאלכסונים חוצים זה את זה.,3,"3.02, 3.03, 3.06, 3.18"
,הוכיחו כי במלבן האלכסונים שווים זה לזה,חופפים את משולשKHJ למשולש HKI לפי צ.ז.צ,3,3.10
,"במערכת גיאומטרית חדשה אנו מגדירים את היחסים בין נקודות כך:
1. דרך שתי נקודות עובר אינסוף קווים.
2. קו מוגדר כמעגל שנסגר על עצמו.
האם מערכת זו עקבית (כלומר, ללא סתירה פנימית בהגדרות)? נמק את תשובתך.
","אם קו מוגדר כמעגל שנסגר על עצמו אז כל קו יחיד אמור לחבר את שתי הנקודות בצורה יחידה וסגורה
בטענה הראשונה דרך שתי נקודות עוברים אינסוף קוים 
מה שיוצר סתירה פנימית בהגדרות
",3,"3.02, 3.03, 3.10"
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.","כן, דלתון מוגדר כמרובע שבו שני זוגות של צלעות סמוכות שוות, ומעוין הוא מקרה מיוחד של דלתון שבו כל ארבע הצלעות שוות.",3,3.18
,הוכיחו שאלכסוני הדלתון ניצבים זה לזה.,דרך זווית ישירה וחפיפת משולשים,3,3.10
,"""המעוין הוא דלתון מיוחד"". האם טענה זו נכונה? נמקו את קביעתכם.","כן, בנוסף לתכונות של דלתון, מעויין מחצה גם קוטר נוסף",3,"3.02, 3.04, 3.07, 3.18"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,"כל ריבוע הוא מקבילית כן - כי על מנת שיהיה ריבוע חייב שבו כל שני צלעות מקבילות שוות לכן כל ריבוע הוא מקבילית
אבל לא כל מקבילית הוא ריבוע - כי הריבוע כל הזוויות כן 90 ובמקבילית לא חייב שיהיה זווית 90 לכן לא כל מקבילית היא ריבוע ",3,"3.02, 3.03, 3.07, 3.18"
,"ביישומון שלפניך מוצגות שתי צורות.האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.","במלבן  מספיק להגיע לצלעות שוות , במקבילות יש צורך להגיע לזוויות של 90 מעלות , יש למדוד",3,"3.02, 3.04, 3.07"
,הוכיחו למה במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,"במשולש קהה זווית, הגובה לצלע שמול הזווית הקהה נמצא מחוץ למשולש כי יש להוריד אותו לצלע מוארכת.",3,"3.02, 3.10"
,הוכיחו למה במשולש קהה זווית לא יתכן שהגובה לצלע שיוצרת זווית קהה יהיה בתוך המשולש.,כי אם הוא היה בתוך המשולש אז היה נוצר משולש עם זוית ישרה וזוית קהה,3,"3.02, 3.03, 3.06, 3.10"
,הוכיחו שאם במרובע האלכסונים חוצים זה את זה אז המרובע הוא מקבילית.,"כיוון שהאלכסונים חוצים זה את זה, נוצרים משולשים חופפים לפי משפט צ.ז.צ. נובע מכך כי שני ישרים במרובע הם שווים כתוצאה מהחפיפה. וגם מקבלים שבמרובע שתי צלעות נגדיות מקבילות ושוות, ולכן המרובע הוא מקבילית.",3,3.10
,"האם אפשר לגרור את קודקודי הצורות כך שכל צורה תהיה ריבוע? אם כן גררו אותם, והסבירו מה חיפשתם בכל צורה כדי להגיע לריבוע. אם לא, הסבירו למה.",אפשר לגרור. גררתי כך שבמקבילית כל הצלעות יהיו שוות וכל הזוויות ישרות. במלבן גררתי כך שכל הצלעות יהיו שוות מכיוון שהזוויות כבר ישרות,3,3.09
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,לא כל מקבילית היא ריבוע כי לא תמיד יש זוית ישרה אבל כל ריבוע הוא מקבילית,3,"3.02, 3.03, 3.07, 3.18"
,כתבו 2 תכונות שמשותפת לכל הריבועים אך לא משותפת לכל המעויינים. נמקו את בחירתכם.,"ארבע זוויות ישרות.
אלכסונים שווים זה לזה",3,"3.02, 3.06"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,כל ריבוע הוא מקבילית אבל לא כל מקבילית היא ריבוע,3,"3.02, 3.03, 3.07, 3.18"
,האם יכולה להיות צורה עם ארבע זוויות ישרות שאינה מלבן? הסבירו.,לא יכולה להיות צורה עם ארבע זוויות ישרות ואינה מלבן . לפי הגדרת המלבן שהוא צורת מרובע שבו כל הזוויות ישרות וכל שני צלעות מקבלות שוות.,3,"3.01, 3.09"
,האם כל מקבילית היא ריבוע? האם כל ריבוע הוא מקבילית? נמקו,כל ריבוע הוא מקבילית כי יש לו תכונות של מקבילית. אבל לא כל מקבילית היא ריבוע כי לא תמיד יש זוויות ישרות,3,"3.02, 3.03, 3.07, 3.18"
